ITEM_CD,ITEM_NM,COURSE_NM,TROBL_TY_NM,BEGIN_TM,END_TM,POSBL_WKDAY_FLAG_CD,COURSE_DETAIL_CN,SUPLI_SLE_AT,SETLE_PRICE
"01","검도","해동검도","기타","150000","200000","0010100",,"N","110000.00000"
"01","검도","검도 및 스포츠","지체, 청각/언어, 지적/자폐","140000","200000","1111100",,"N","95000.00000"
"01","검도","검도 1부","지체, 청각/언어, 지적/자폐, 뇌병변, 기타","160000","165000","1111100","마지막주 금요일은 휴무입니다.
수련비용의 추가 금액은 별도로 결재 부탁드립니다.","N","180000.00000"
"01","검도","검도기본기","지체, 청각/언어, 지적/자폐","170000","190000","1111000","* 강좌 결제 전 사전상담 필수입니다.(☎ 문의: 010-9797-8808)
□ 강좌 내용: 한 타임에 5명이 죽도 및 목검을 활용해 진행하는 수업입니다.","N","110000.00000"
"01","검도","검도기초수련~유단자수련","청각/언어","103000","210000","1111100",,"N","110000.00000"
"01","검도","검도","지체","170000","210000","1111111","* 강좌 결제 전 사전상담 필수입니다.(☎ 문의: 000-000-0000)
□ 강좌 내용: (예시) 한 타임에 5명이 ㅇㅇ도구를 활용해 진행하는 수업입니다.","N","110000.00000"
"01","검도","검도","기타","160000","220000","1111000","* 강좌 결제 전 사전상담 필수입니다.
모라검도관 (☎ 문의: 051-305-6070)","N","110000.00000"
"01","검도","검도 및 스포츠","지체, 청각/언어, 지적/자폐","130000","203000","1111100","시간 협의가능.  월 수 금 : 점핑스포츠, 교구수업, 에어바운스 등 화 목 : 검도","N","95000.00000"
"01","검도","검도2교시","지적/자폐","150000","154500","1111000","* 강좌 결제 전 사전상담 필수입니다.(☎ 문의: 032-751-0611)
□ 강좌 내용: (예시) 한 타임에  최소 8명 이상이  죽도 도복  호구등을  활용해 진행하는 수업입니다.","N","190000.00000"
"01","검도","검도 2부","지체, 청각/언어, 지적/자폐, 뇌병변, 기타","180000","185000","1111100","매달 마지막주 금요일은 휴무입니다.
수련비용의 추가 금액은 별도로 결재 부탁드립니다.","N","180000.00000"
"01","검도","검도기본기,본국검법 등","지체, 청각/언어, 지적/자폐, 뇌병변, 기타","160000","210000","0101000","기초과정은 개인지도 기초과정 끝나면 
어울림 수업으로 진행합니다.
(주2회 수업으로 진행합니다)
바우처결제110,000+본인부담금 70,000 입니다.

부가비용
도복(순면)한벌60,000원
상하의기능성(폴리소재) 한벌80,000원

죽도 
초등30,000원
중학이상35,000원","N","110000.00000"
"01","검도","강무검도관","지체, 시각, 청각/언어, 지적/자폐, 뇌병변, 기타","160000","220000","1111100",,"N","100000.00000"
"01","검도","검도 학생부/성인부","기타","190000","195000","1010000",,"N","140000.00000"
"01","검도","우슈(쌍절곤, 검)","기타","140000","200000","0000100","사회복지사/장애인활동지원사 근무","N","110000.00000"
"01","검도","검도수업","지체, 청각/언어, 지적/자폐, 기타","160000","210000","1111101","개인장비지참
검도관내에 비치 [도복,죽도 구입가능]","N","120000.00000"
"01","검도","검도","지체, 청각/언어, 지적/자폐","140000","220000","1111100",,"N","95000.00000"
"01","검도","검도 교실","지체, 청각/언어, 지적/자폐, 기타","183000","193000","1010100","* 강좌 결제 전 사전 상담 필수입니다.(☎ 문의: 02-861-0087)

&quot; 꼭~ 한번 배우고 싶었던 검도! 망설이지 말고 지금 시작하세요.&quot;  

 남,녀,노,소 누구나 가능","N","110000.00000"
"01","검도","검도","지체, 청각/언어, 지적/자폐","020000","220000","1111100",,"N","85000.00000"
"01","검도","백제시대검도","기타","170000","180000","1111100",,"N","130000.00000"
"01","검도","검도교실","청각/언어, 지적/자폐","183000","200000","1010100","개인장비(도복,죽도,호구등) 별도구입/
등록시 강사님께 개인 장비 문의요망","N","80000.00000"
"01","검도","검도3교시","청각/언어, 지적/자폐","160000","164500","1111000","* 강좌 결제 전 사전상담 필수입니다.(☎ 문의: 032-751-0611)
□ 강좌 내용: (예시) 한 타임에  8명 이상이 도복 죽도 호구등을  활용해 진행하는 수업입니다.","N","190000.00000"
"01","검도","검도 초급반","청각/언어","160000","165000","1111100","* 강좌 결제 전 사전상담 필수입니다.(☎ 문의: 000-000-0000)
□ 강좌 내용: (예시) 한 타임에 5명이 ㅇㅇ도구를 활용해 진행하는 수업입니다.","N","150000.00000"
"01","검도","검도입문및기초","지체, 시각, 청각/언어, 지적/자폐, 뇌병변, 기타","200000","213000","1010000",,"N","110000.00000"
"01","검도","수영(자유수영-월이용)-가임기 여성 어린이","지체, 시각, 청각/언어, 지적/자폐, 뇌병변, 기타","000000","000000","1111111","이용안내 및 이용수칙 등 안성시국민체육센터 홈페이지 참조 및  문의전화  (전화:031-651-0741) 
연령기준
-. 경로자:만65세 이상
-. 청소년:만13세 ~ 만18세 이하
-. 어린이:만 6세 ~ 만12세 이하
-. 가임기여성 : 만10세 ~ 만55세","N","8000.00000"
"01","검도","검도교실B(성인)","기타","200000","202000","0101000","재등록외 수강신청금지(자동취소처리됨) 신규 수강신청시 센터 방문후 전문강사 상담필수, 상담없이 신청시 자동 취소처리됨","N","12830.00000"
"01","검도","인성 및 검도 기본기, 대련훈련","지체, 청각/언어, 뇌병변","043000","052000","1111110","바우처 결제시 60,000원 별도 결제입니다.(수업 일수에 따라 금액 차이가 있습니다)","N","110000.00000"
"01","검도","검도","지체, 청각/언어, 지적/자폐","020000","220000","1111100",,"N","95000.00000"
"01","검도","인성 및 검도 기본기, 대련훈련","지체, 청각/언어, 뇌병변","033000","042000","1111110","바우처 결제시 60,000원 별도 결제입니다.(수업 일수에 따라 금액 차이가 있습니다)","N","110000.00000"
