facility_name,facility_phone,facility_address,facility_type,geo_lng,geo_lat
아레아필라테스,23790990,서울특별시 서대문구 세검정로 87-4 필라테스(홍제동),필라테스,126.9485509,37.5957
용인대청목태권도,25433774,서울특별시 강남구 봉은사로71길 49 2층(삼성동),태권도,127.048936,37.5154261
봄아동발달센터,28659129,서울특별시 관악구 조원로 56 신영빌딩 5F(신림동),기타종목,126.9087181,37.4834948
봄언어심리발달센터,29813547,서울특별시 성북구 삼양로 68 1층(길음동),기타종목,127.0231979,37.6092072
용인대제일유도관,24335662,서울특별시 중랑구 면목로 463 3층 용인대제일유도관(상봉동),유도,127.0861635,37.5931732
희망탁구,,서울특별시 노원구 석계로 67 희망탁구(월계동),탁구,127.0626021,37.6207114
광남체육관,24466262,"서울특별시 광진구 아차산로 522 현대아파트8단지상가 3층 광남태권도(광장동, 현대아파트)",태권도,127.0999418,37.541883
용인대인성태권도,28433311,서울특별시 영등포구 도림로 274 2층(신길동),태권도,126.9045274,37.5025038
용인대유도체육관,24398702,서울특별시 중랑구 봉화산로 98 지층 용인대유도체육관(중화동),유도,127.085323,37.6022334
용인대월드태권도,24096444,서울특별시 송파구 양산로4길 9 3층 월드태권도(거여동),태권도,127.1443843,37.4901065
용인대올림픽태권도,29247934,서울특별시 성북구 종암로23길 17 서울시성북구종암동 종암로23길17원진프라자 용인대올림픽태권도장3층(종암동),태권도,127.0330256,37.599632
용인대예다함태권도,24597179,서울특별시 강남구 밤고개로21길 69 3층 용인대예다함태권도(율현동),태권도,127.1138956,37.4742272
한국체대 승리체육관,,"서울특별시 양천구 남부순환로56길 15 코아루상가 2층 승리체육관(신월동, 신월동코아루2단지)",태권도,126.828543,37.5316318
한국체대 성산태권도,23347750,서울특별시 마포구 월드컵로5길 74 2층 한국체대 성산태권도(합정동),태권도,126.9085022,37.5507331
부부용인대TOP태권도,,"서울특별시 강서구 허준로 121 상가동304호(가양동, 대림경동아파트)",태권도,126.8540713,37.5664452
빛요가,23791919,서울특별시 서대문구 통일로 463 3층 빛요가(홍제동),요가,126.9427531,37.589627
한국체대 누리태권도장,29078080,서울특별시 강북구 한천로 981 2층 한국체대 누리태권도장(번동),태권도,127.0315815,37.6366555
용인대영웅태권도장,28429632,서울특별시 영등포구 대림로21길 7 2층 용인대영웅태권도장(대림동),태권도,126.9004753,37.4926816
시립목동청소년센터,226421318,서울특별시 양천구 목동서로 143 시립목동청소년센터(목동),수영,126.8755034,37.5307537
용인대석사백인태권도장,24727906,서울특별시 강동구 명일로 104 신성상가3층(둔촌동),태권도,127.14255,37.5283153
